aluno_id,area_interesse
ALU_35f2ecc273,Direito
ALU_c220bd8270,Psicologia Clínica
ALU_c220bd8270,Gestão De Recursos Humanos
ALU_c220bd8270,Avaliação Psicológica/Neuropsicológica
ALU_c220bd8270,Psicologia Hospitalar
ALU_c220bd8270,Psicologia Escolar
ALU_046910a6c6,Redação E Revisão
ALU_046910a6c6,Tradução
ALU_046910a6c6,Educação
ALU_046910a6c6,Pesquisa
ALU_d6c9778c4b,Jornalismo
ALU_d6c9778c4b,Edição De Textos
ALU_00b03dc166,Finance And Data Science For Financial Institutions
ALU_19802ac392,Mercado Financeiro
ALU_74226becfb,Estágio -  Área Jurídica
ALU_73f7b6a725,Contecioso Cível
ALU_a7cd74fcc2,Mediação
ALU_a7cd74fcc2,Departamento Pessoal
ALU_a7cd74fcc2,Recursos Humanos
ALU_0498928730,Financeiro
ALU_07ddbf6665,Neuropsicologia
ALU_8c4dcf6753,Comunicação
ALU_f4b24e3b97,Consultoria
ALU_f4b24e3b97,Mercado Financeiro
ALU_5bf4f86f95,Equity Research
ALU_5bf4f86f95,Análise Financeira
ALU_5bf4f86f95,Private Equity
ALU_5bf4f86f95,Fusões E Aquisições (M&A)
ALU_7a7a5c6885,Interesse Nas Áreas Da Psicologia Organizacional E Hospitalar.
ALU_fe65f10645,"Direito Imobiliário, Contencioso E Família"
ALU_291522eebd,Mercado Financeiro
ALU_3709954c61,Finanças
ALU_3709954c61,Marketing
ALU_e36c2df063,Agrofloresta
ALU_e36c2df063,Psicologia
ALU_e36c2df063,Sustentabilidade
ALU_53a5729719,Atendimento
ALU_81f0e4e10d,Pós Produção Cinema Ou Tv. Game Development. Produção Editorial. Tradução
ALU_dfd640f917,Motion Design
ALU_dfd640f917,Design De Estampa
ALU_dfd640f917,Design Gráfico
ALU_dfd640f917,Identidade Visual
ALU_dfd640f917,Design Criativo
ALU_27a7cced9a,Estruturas De Dados Espaciais
ALU_27a7cced9a,Engenharia Algoritmica
ALU_27a7cced9a,Modelos Preditivos
ALU_63da604068,Educação
ALU_63da604068,Ensino
ALU_63da604068,Administração
ALU_ee657ed486,"Tenho Interesse Em Finanças, Macroeconomia, Economia Com Foco Em Setores Públicos E Economia Monetária. Atualmente Com 22 Anos, Sou Estudante De Economia Na Puc-Rio, Com Previsão De Formatura Em Dezembro Do Próximo Ano, Podendo Se Estender Para 2026.1. Ao Longo Da Minha Trajetória Acadêmica, Desenvolvi Habilidades Que Me Permitem Contribuir De Forma Significativa Para A Sua Empresa. Realizei Dois Intercâmbios No Canadá, O Que Ampliou Minha Visão Global E Capacidade De Adaptação A Novos Desafios. Além Disso, Participei Ativamente Do Núcleo De Dados (Econdata) Da Puc-Rio, E Estou Envolvido Em Projetos No Núcleo De Macroeconomia E No Nucleo De Economia Aplicada, Onde Também Conduzo Uma Iniciação Científica Na Mesma Área. Valorizo O Trabalho Em Equipe E Acredito Que Uma Boa Dinâmica Entre Os Membros É Essencial Para Alcançar Resultados Eficientes E Os Objetivos Propostos. Tenho Domínio Avançado De Excel E Conhecimentos Sólidos Em Python, R, E Atualmente Estou Aprofundando Meu Aprendizado Em Látex, Pois Sou Pibic Do Professor Fernando Mendo. Estou Empolgado Com A Possibilidade De Contribuir Para A Sua Empresa E Aplicar Meus Conhecimentos Em Um Ambiente Desafiador. Acredito Que Minha Experiência Acadêmica, Aliada Às Minhas Habilidades Técnicas E À Capacidade De Trabalhar Em Equipe, Me Permitirá Agregar Valor À Sua Equipe. Estou À Disposição Para Uma Conversa, Onde Poderei Compartilhar Mais Sobre Minhas Experiências E Como Posso Contribuir Para O Sucesso Da Sua Empresa. Agradeço Pela Consideração E Espero Ter A Oportunidade De Conversar Em Breve."
ALU_462377ba28,Recrutamento E Seleção
ALU_462377ba28,Recursos Humanos
ALU_dda1d9792c,Psicologia
ALU_07bc6d84c1,Análise E Ciência De Dados
ALU_69a9fc593c,Mercado Financeiro
ALU_4dd2de8698,Psicologia
ALU_9ba8e1cb5f,Marketing
ALU_9d09241f5b,"Audiovisual, Cinema, Marketing E Publicidade"
ALU_26c07e3859,"Meu Interesse Consiste Em Trabalhar Tanto Em Escritório Como Em Canteiro De Obras, Focando Em Ampliar Meus Conhecimentos E Experiências Com O Curso De Arquitetura E Urbanismo."
ALU_5ebe1f39ab,Direito Bancário E Financeiro
ALU_5ebe1f39ab,Direito Empresarial
ALU_5ebe1f39ab,Corporate M&A
ALU_5ebe1f39ab,Direito Tributário
ALU_afc2e47a66,Backoffice
ALU_afc2e47a66,"Equity, Macro Research, Venture Capital, Credito, Risco"
ALU_0b66e2050e,Produção De Eventos
ALU_0b66e2050e,Marketing / Vendas
ALU_b88671ff85,Ux/Ui Design
ALU_b88671ff85,Gestão
ALU_b88671ff85,Análise De Dados
ALU_b88671ff85,Research
ALU_65e88e51ff,Psicologia
