aluno_id,curso,periodo_atual,habilitacao,bairro,cidade,uf,faixa_idade,matriculado,mes_cadastro
ALU_0f92e6820d,Ciência Da Computação,7,Bac Ciência Da Computação,Humaita,Rio De Janeiro,RJ,20-22,S,2024-01
ALU_35f2ecc273,Direito,8,Bacharelado Em Direito,Botafogo,Rio De Janeiro,RJ,20-22,S,2024-01
ALU_2198591129,Engenharia,11,Bac Em Engenharia De Produção,Jardim Botanico,Rio De Janeiro,RJ,23-25,S,2024-01
ALU_a7b7dc728c,Ciências Econômicas,7,Bac Em Ciências Econômicas,Barra Da Tijuca,Rio De Janeiro,RJ,20-22,S,2024-01
ALU_bd2ad27819,Ciências Econômicas,9,Bac Em Ciências Econômicas,Leblon,Rio De Janeiro,RJ,20-22,S,2024-01
ALU_c220bd8270,Psicologia,11,Bacharelado Em Psicologia,Cachambi,Rio De Janeiro,RJ,,S,2024-01
ALU_b4146ba8cb,Psicologia,6,Bacharelado Em Psicologia,Chatuba,Mesquita,RJ,,S,2024-01
ALU_7ea9f481ac,Psicologia,7,Bacharelado Em Psicologia,Recreio Dos Bandeirantes,Rio De Janeiro,RJ,20-22,S,2024-01
ALU_90293a7fc3,Jornalismo,5,Bacharelado Em Jornalismo,Tijuca,Rio De Janeiro,RJ,20-22,S,2024-01
ALU_046910a6c6,Letras,5,"Lic Let,Ling Port Resp Lit",Jardim Primavera,Duque De Caxias,RJ,20-22,S,2024-01
ALU_d6c9778c4b,Jornalismo,9,Bacharelado Em Jornalismo,Copacabana,Rio De Janeiro,RJ,20-22,S,2024-01
ALU_00b03dc166,Ciência Da Computação,5,Bac Ciência Da Computação,Gávea,Rio De Janeiro,RJ,20-22,S,2024-01
ALU_483e50240e,Pos-Graduacao Em Engenharia De Producao,7,Mestr Profission Logistica,Freguesia,Rio De Janeiro,RJ,,N,2024-01
ALU_a815b23f1f,Neurociências,7,Bacharelado Em Neurociências,Rocinha,Rio De Janeiro,RJ,23-25,S,2024-01
ALU_faa47bcfde,Direito,6,Bacharelado Em Direito,Barra Da Tijuca,Rio De Janeiro,RJ,20-22,S,2024-01
ALU_19802ac392,Ciências Econômicas,9,Bac Em Ciências Econômicas,Copacabana,Rio De Janeiro,RJ,20-22,S,2024-01
ALU_74226becfb,Direito,6,Bacharelado Em Direito,Vila Valqueire,Rio De Janeiro,RJ,23-25,S,2024-01
ALU_2b42d8d0b6,Comunicação Social,12,"Com Social - Pub Prop, Bachar",Gavea,Rio De Janeiro,RJ,,S,2024-01
ALU_73f7b6a725,Direito,7,Bacharelado Em Direito,Recreio,Rio De Janeiro,RJ,20-22,S,2024-01
ALU_0e89956d68,Direito,10,Bacharelado Em Direito,Barra Da Tijuca,Rio De Janeiro,RJ,,S,2024-01
ALU_a7cd74fcc2,Psicologia,6,Bacharelado Em Psicologia,Pechincha,Rio De Janeiro,RJ,30+,S,2024-01
ALU_0498928730,Administração,7,Bacharelado Em Administração,Humaita,Rio De Janeiro,RJ,23-25,S,2024-01
ALU_627830faf1,Design,6,Bacharelado Em Design,Engenho De Dentro,Rio De Janeiro,RJ,20-22,S,2024-01
ALU_55c24a3275,Relacões Internacionais,12,Bac Relacões Internacionais,Recreio Dos Bandeirantes,Rio De Janeiro,RJ,23-25,N,2024-01
ALU_3b3fe01345,Administração,6,Bacharelado Em Administração,Tubiacanga,Rio De Janeiro,RJ,,S,2024-01
ALU_07ddbf6665,Psicologia,6,Bacharelado Em Psicologia,Alcantara,Sao Goncalo,RJ,23-25,S,2024-01
ALU_8c4dcf6753,Jornalismo,7,Bacharelado Em Jornalismo,Jardim Botanico,Rio De Janeiro,RJ,23-25,S,2024-01
ALU_1702708b9c,Ciências Econômicas,9,Bac Em Ciências Econômicas,Meier,Rio De Janeiro,RJ,26-30,S,2024-01
ALU_a5380bf8c7,Relacões Internacionais,7,Bac Relacões Internacionais,Tauá - Ilha Do Governador,Rio De Janeiro,RJ,20-22,S,2024-01
ALU_754d953148,Ciência Da Computação,6,Bac Ciência Da Computação,Copacabana,Rio De Janeiro,RJ,20-22,S,2024-01
ALU_f4b24e3b97,Ciências Econômicas,7,Bac Em Ciências Econômicas,Ipanema,Rio De Janeiro,RJ,20-22,S,2024-01
ALU_5bf4f86f95,Ciências Econômicas,5,Bac Em Ciências Econômicas,Flamengo,Rio De Janeiro,RJ,20-22,N,2024-01
ALU_7a7a5c6885,Psicologia,17,Bacharelado Em Psicologia,São Cristóvão ,Rio De Janeiro ,RJ,26-30,S,2024-01
ALU_fe65f10645,Direito,11,Bacharelado Em Direito,Botafogo,Rio De Janeiro,RJ,23-25,N,2024-01
ALU_291522eebd,Engenharia,12,Bac Em Engenharia De Produção,Jardim Botanico,Rio De Janeiro,RJ,,S,2024-01
ALU_32c4c767c6,Engenharia,13,Bac Em Engenharia Mecânica,Botafogo,Rio De Janeiro,RJ,23-25,S,2024-01
ALU_65b6db200e,Ciências Econômicas,6,Bac Em Ciências Econômicas,Sao Jose Cabucu,Itaborai,RJ,23-25,S,2024-01
ALU_edebcc8267,Engenharia,13,Bac Eng Mat Nano,Barra Da Tijuca,Rio De Janeiro,RJ,23-25,S,2024-01
ALU_b58a3cd2d7,Administração,7,Bacharelado Em Administração,Jacarepagua,Rio De Janeiro,RJ,23-25,S,2024-01
ALU_9dd6e706a5,Administração,7,Bacharelado Em Administração,Barra Da Tijuca,Rio De Janeiro,RJ,20-22,S,2024-01
ALU_9ddabf671c,Direito,12,Bacharelado Em Direito,Recreio Dos Bandeirantes,Rio De Janeiro,RJ,,S,2024-01
ALU_3709954c61,Administração,8,Bacharelado Em Administração,Leblon,Rio De Janeiro,RJ,20-22,S,2024-02
ALU_2636fb04b1,Direito,6,Bacharelado Em Direito,Itanhanga,Rio De Janeiro,RJ,20-22,S,2024-02
ALU_27d85615e9,Engenharia,13,Bac Em Engenharia De Produção,Barra Da Tijuca,Rio De Janeiro,RJ,23-25,S,2024-02
ALU_e36c2df063,Psicologia,9,Bacharelado Em Psicologia,Barra Da Tijuca,Rio De Janeiro,RJ,23-25,S,2024-02
ALU_53a5729719,Teologia,5,Bacharelado Em Teologia,Engenho Da Rainha,Rio De Janeiro,RJ,30+,S,2024-02
ALU_dd077262c5,Engenharia,7,Bac Engenharia De Computação,Flamengo,Rio De Janeiro,RJ,20-22,S,2024-02
ALU_025ddd78a0,Ciências Econômicas,9,Bac Em Ciências Econômicas,Leblon,Rio De Janeiro,RJ,,S,2024-02
ALU_81f0e4e10d,Comunicação Social,13,"Com Social-Cinema, Bachar",Ipanema,Rio De Janeiro,RJ,26-30,S,2024-02
ALU_ace025c5d9,Design,7,Bacharelado Em Design,Urca,Rio De Janeiro,RJ,20-22,S,2024-02
ALU_79e4b25480,Engenharia,7,Bac Em Engenharia De Produção,Botafogo,Rio De Janeiro,RJ,,S,2024-02
