vaga_id,data_publicacao,tipo,jornada,bolsa_mensal_brl,periodo_min,periodo_max,num_vagas,cidade,bairro,empresa_id,qtd_cursos_elegiveis,data_termino,atividades,requisitos,beneficios
VAGA_abbf3a351e,2025-08-01,Estágio,Integral,1000.00,1,10,1,Rio De Janeiro,Jacarepaguá,EMP_220efb6e39,4,2025-09-24,- Acessar arquivos diversos | - Acessar arquivos diversos e auxiliar na execução de rotinas da área | - Acessar arquivos diversos e distinguir o status de relevância,,- Assistência médica | - Recesso Remunerado
VAGA_167dce28be,2025-08-01,Estágio,A Combinar,1195.15,3,5,1,Rio De Janeiro,Centro,EMP_220efb6e39,4,2025-08-12,- Acompanhar e realizar manutenção do banco de dados | - Conduzir pesquisa via internet | - Fazer operações de sistemas,,"- Auxílio alimentação diario (R$ 24,00)"
VAGA_c6949b5209,2025-08-01,Estágio,Integral,1050.00,1,10,1,Rio De Janeiro,Paciência,EMP_220efb6e39,2,2025-08-27,- Auxiliar na analise de conta | - Auxiliar na classificação contábil | - Auxiliar no suporte a gestão de compras,,- Assistência médica | - Recesso Remunerado
VAGA_d5a21a635c,2025-08-01,Estágio,A Combinar,1350.00,5,7,1,Rio De Janeiro,Centro,EMP_220efb6e39,1,2025-08-25,"- Acessar e controlar pastas e arquivos jurídico, bem como inserir dados e publicações oficiais no sistema informatizado de acompanhamento de processos | - Acompanhar prazos processuais | - Atuar na redação de petições de menor complexidade, estudos doutrinários e jurisprudenciais | - Auxiliar na pesquisa de legislação, doutrina e jurisprudência do direito",,
VAGA_fb4972eb61,2025-08-01,Estágio,A Combinar,1500.00,6,10,1,Rio De Janeiro,Recreio Dos Bandeirantes,EMP_220efb6e39,1,2025-08-12,- Acompanhamento de analise de processos referentes aos pedidos de certificados de conclusão de obra e a aprovação de reformas e demolição. | - Acompanhamento supervisionado ao pesquisar preços de materiais para orçamento de obras | - Acompanhamento supervisionado de auxilio no planejamento da execução da obra,,- Assistência médica | - Recesso Remunerado
VAGA_626ce21491,2025-08-01,Estágio,Integral,1668.00,4,8,1,Rio De Janeiro,Centro,EMP_220efb6e39,4,2025-08-12,"- Auxiliar na programação PHP | - Programar em sql para a geração de relatórios com softwares específicos | - Auxiliar desenvolvimento HTML, CSS, JavaScript; | - Auxiliar na automação de tarefas usando o PowerAutomate ou scripts python",,"- Vale refeição (R$ 35,00)"
VAGA_dedb16bbe6,2025-08-01,Estágio,Integral,1200.00,2,7,1,Rio De Janeiro,Ramos,EMP_220efb6e39,4,2025-08-12,- Auxiliar na execução de mídia | - Auxiliar no suporte a área de marketing | - Fazer pesquisas na Internet,,
VAGA_8836ae43a7,2025-08-01,Estágio,Integral,900.00,1,10,1,Rio De Janeiro,Colégio,EMP_220efb6e39,1,2025-08-12,- Acompanhamento de projetos | - Acompanhar projetos de melhoria | - Auxiliar na administração dos indicadores de produção,,- Assistência médica | - Recesso Remunerado
VAGA_4999317e1a,2025-08-01,Estágio,A Combinar,0.00,1,30,1,Rio De Janeiro,Engenho Novo,EMP_220efb6e39,1,2025-09-19,- Acompanhamento supervisionado nas atividades em sala de aula | - Acompanhamento supervisionado no auxilio ao professor em sala de aula | - Auxiliar e participar do trabalho pedagogico do professor regente e demais profissionais que integram a equipe escolar,,
VAGA_89025c7d70,2025-08-01,Estágio,A Combinar,1215.00,5,8,1,Rio De Janeiro,Centro,EMP_220efb6e39,1,2025-09-15,- Acompanhamento supervisionado de analise de dados do projeto,,
