sessao_id,ciclista_id,data,dia_semana,hora_entrada,faixa_hora_entrada,hora_saida,faixa_hora_saida,duracao_min,suspeita_saida_nao_registrada
USO_000001,CICL_b529a17637,2026-05-04,Segunda,06:18,6,12:44,12,386.0,N
USO_000002,CICL_e05c94cd5e,2026-05-04,Segunda,06:18,6,12:16,12,357.1,N
USO_000003,CICL_79937dec4c,2026-05-04,Segunda,06:19,6,08:22,8,123.6,N
USO_000004,CICL_432f636de3,2026-05-04,Segunda,06:22,6,12:13,12,351.4,N
USO_000005,CICL_0bc16e45da,2026-05-04,Segunda,06:28,6,08:39,8,131.1,N
USO_000006,CICL_e170f744c1,2026-05-04,Segunda,06:32,6,10:33,10,240.9,N
USO_000007,CICL_a9f0341b9d,2026-05-04,Segunda,06:36,6,08:35,8,118.9,N
USO_000008,CICL_c462c27f76,2026-05-04,Segunda,06:37,6,10:21,10,223.3,N
USO_000009,CICL_b0f3614fbb,2026-05-04,Segunda,06:43,6,08:49,8,126.2,N
USO_000010,CICL_0f165cac03,2026-05-04,Segunda,06:43,6,10:05,10,202.4,N
USO_000011,CICL_464e297f74,2026-05-04,Segunda,06:44,6,12:30,12,345.6,N
USO_000012,CICL_a88234ac4d,2026-05-04,Segunda,06:44,6,13:05,13,380.5,N
USO_000013,CICL_c5725e9f7c,2026-05-04,Segunda,06:45,6,12:08,12,323.5,N
USO_000014,CICL_648c47cb78,2026-05-04,Segunda,06:45,6,08:20,8,94.9,N
USO_000015,CICL_00145925be,2026-05-04,Segunda,06:47,6,08:31,8,103.7,N
USO_000016,CICL_8799140897,2026-05-04,Segunda,06:49,6,13:24,13,395.8,N
USO_000017,CICL_aa18d42d23,2026-05-04,Segunda,06:49,6,08:58,8,129.2,N
USO_000018,CICL_f301577f8c,2026-05-04,Segunda,06:49,6,08:22,8,92.5,N
USO_000019,CICL_f27eab0471,2026-05-04,Segunda,06:50,6,12:38,12,348.9,N
USO_000020,CICL_1dc5a07f22,2026-05-04,Segunda,06:50,6,08:41,8,111.0,N
USO_000021,CICL_e3d8ea4df2,2026-05-04,Segunda,06:51,6,20:33,20,821.7,N
USO_000022,CICL_0053c3a666,2026-05-04,Segunda,06:52,6,10:15,10,203.6,N
USO_000023,CICL_3cfdbffa6b,2026-05-04,Segunda,06:52,6,12:52,12,360.3,N
USO_000024,CICL_6f7c2eac52,2026-05-04,Segunda,06:53,6,21:07,21,853.6,S
USO_000025,CICL_14ccd13b02,2026-05-04,Segunda,06:53,6,08:00,8,66.3,N
USO_000026,CICL_53f0a1e89b,2026-05-04,Segunda,06:54,6,11:32,11,278.3,N
USO_000027,CICL_09d03ffcfc,2026-05-04,Segunda,06:54,6,08:28,8,1533.3,S
USO_000028,CICL_5f336f9957,2026-05-04,Segunda,06:54,6,08:44,8,109.6,N
USO_000029,CICL_bbd1e52d6f,2026-05-04,Segunda,06:55,6,20:42,20,827.9,N
USO_000030,CICL_e62b177667,2026-05-04,Segunda,06:55,6,12:34,12,339.0,N
USO_000031,CICL_062d91fe51,2026-05-04,Segunda,06:55,6,08:21,8,85.8,N
USO_000032,CICL_315ea26533,2026-05-04,Segunda,06:55,6,12:09,12,313.6,N
USO_000033,CICL_ab4c88f0a2,2026-05-04,Segunda,06:56,6,10:50,10,234.3,N
USO_000034,CICL_58bfdf7580,2026-05-04,Segunda,06:56,6,08:20,8,84.4,N
USO_000035,CICL_7c8aebf3d8,2026-05-04,Segunda,06:56,6,12:43,12,347.2,N
USO_000036,CICL_37f84e4e99,2026-05-04,Segunda,06:57,6,12:22,12,325.2,N
USO_000037,CICL_c8d0dc0e4b,2026-05-04,Segunda,06:57,6,08:43,8,106.2,N
USO_000038,CICL_368b36daf4,2026-05-04,Segunda,06:58,6,13:01,13,363.8,N
USO_000039,CICL_957563ee48,2026-05-04,Segunda,06:58,6,13:08,13,369.7,N
USO_000040,CICL_928dc3c543,2026-05-04,Segunda,06:58,6,12:30,12,331.2,N
USO_000041,CICL_aafcbb11b7,2026-05-04,Segunda,06:59,6,10:55,10,236.2,N
USO_000042,CICL_bad7791a96,2026-05-04,Segunda,06:59,6,10:17,10,198.7,N
USO_000043,CICL_a0d44a4a3b,2026-05-04,Segunda,06:59,6,14:53,14,474.2,N
USO_000044,CICL_790ef84981,2026-05-04,Segunda,06:59,6,08:19,8,80.3,N
USO_000045,CICL_13d4640be7,2026-05-04,Segunda,07:00,7,08:59,8,118.9,N
USO_000046,CICL_733638db9b,2026-05-04,Segunda,07:00,7,12:33,12,333.1,N
USO_000047,CICL_654b5dd558,2026-05-04,Segunda,07:00,7,13:28,13,388.1,N
USO_000048,CICL_d52efe9fc8,2026-05-04,Segunda,07:01,7,12:44,12,343.5,N
USO_000049,CICL_959007d0cc,2026-05-04,Segunda,07:01,7,09:15,9,133.9,N
USO_000050,CICL_4c067daee9,2026-05-04,Segunda,07:01,7,09:14,9,132.7,N
USO_000051,CICL_39841a07f3,2026-05-04,Segunda,07:01,7,10:52,10,231.5,N
USO_000052,CICL_883af651bc,2026-05-04,Segunda,07:01,7,12:15,12,313.9,N
USO_000053,CICL_f2e4cd11bd,2026-05-04,Segunda,07:01,7,15:01,15,480.1,N
USO_000054,CICL_bd16b0552a,2026-05-04,Segunda,07:01,7,08:53,8,112.0,N
USO_000055,CICL_f786e30574,2026-05-04,Segunda,07:03,7,18:47,18,703.9,N
