dia_semana,faixa_hora_entrada,entradas
Segunda,6,149
Segunda,7,748
Segunda,8,472
Segunda,9,945
Segunda,10,410
Segunda,11,445
Segunda,12,348
Segunda,13,514
Segunda,14,231
Segunda,15,230
Segunda,16,178
Segunda,17,173
Segunda,18,167
Segunda,19,116
Segunda,20,38
Segunda,21,27
Segunda,22,5
Terca,6,101
Terca,7,949
Terca,8,474
Terca,9,879
Terca,10,347
Terca,11,466
Terca,12,332
Terca,13,614
Terca,14,253
Terca,15,209
Terca,16,203
Terca,17,191
Terca,18,124
Terca,19,140
Terca,20,26
Terca,21,22
Terca,22,4
Quarta,6,150
Quarta,7,855
Quarta,8,455
Quarta,9,916
Quarta,10,338
Quarta,11,380
Quarta,12,283
Quarta,13,531
Quarta,14,248
Quarta,15,243
Quarta,16,192
Quarta,17,158
Quarta,18,126
Quarta,19,86
Quarta,20,37
Quarta,21,23
Quarta,22,4
Quinta,6,114
Quinta,7,609
Quinta,8,491
Quinta,9,893
Quinta,10,267
Quinta,11,330
Quinta,12,299
Quinta,13,446
Quinta,14,228
Quinta,15,189
Quinta,16,266
Quinta,17,134
Quinta,18,87
Quinta,19,109
Quinta,20,34
Quinta,21,19
Quinta,22,11
Sexta,0,2
Sexta,1,1
Sexta,6,120
Sexta,7,356
Sexta,8,330
Sexta,9,721
Sexta,10,389
Sexta,11,288
Sexta,12,254
Sexta,13,409
Sexta,14,157
Sexta,15,94
Sexta,16,68
Sexta,17,74
Sexta,18,40
Sexta,19,34
Sexta,20,4
Sexta,21,1
Sexta,22,1
Sabado,14,2
Sabado,16,3
