cod_disciplina,disciplina,creditos,horas_teoria,horas_pratica,cod_departamento
ACN1005,Projeto Final,4,4,0,633
ACN1006,Estagio Supervisionado,1,1,0,633
ACN1020,Top Esp Em Artes Cenicas,4,2,0,633
ACN1022,Teatro/Musica Cult Brasileira,4,4,0,633
ACN1023,"Leitor,Espectador/Obra De Arte",4,2,0,633
ACN1027,Top Esp Em Artes Cenicas,4,4,0,633
ACN1028,Top Esp Em Artes Cenicas,4,4,0,633
ACN1029,Top Esp Em Artes Cenicas,4,4,0,633
ACN1030,Top Esp Em Artes Cenicas,4,0,2,633
ACN1032,Top Esp Em Artes Cenicas,4,0,2,633
ACN1034,Top Esp Em Artes Cenicas,4,4,0,633
ADM1010,Analise Empresarial,4,4,0,738
ADM1019,Introducao A Financas,4,4,0,738
ADM1496,Marketing Para Empreendedores,4,4,0,738
ADM1688,Administracao Intercultural,4,4,0,738
ADM1980,Top Esp Em Administracao I,4,4,0,738
ADM9981,Mkt Strats Thru Cons Behavior,4,4,0,738
ADM9983,Valuation And Real Options,4,4,0,738
ARQ1000,Introducao Profissao Arquiteto,2,2,0,256
ARQ1001,Teoria/Historia Arquitetura I,3,3,0,256
ARQ1002,Teoria/Historia Arquitetura Ii,3,3,0,256
ARQ1003,Urbanismo,4,4,0,256
ARQ1004,Planejamento Urbano/Regional,2,2,0,256
ARQ1005,Teo E Hist Da Arquitetura Iii,3,3,0,256
ARQ1006,Conforto Ambiental,3,2,1,256
ARQ1101,Introducao Ao Projeto,12,9,3,256
ARQ1102,Projeto Espaco Residencial I,12,9,3,256
ARQ1103,Projeto Espaco Trabalho,12,9,3,256
ARQ1104,Projeto Espaco Coletivo,12,9,3,256
ARQ1105,Projeto Revital/Reutilizacao,12,9,3,256
ARQ1106,Projeto Urbano,12,9,3,256
ARQ1108,Projeto Espaco Residencial Ii,12,9,3,256
ARQ1109,Proposta De Projeto Final,6,3,3,256
ARQ1110,Projeto Final,4,2,2,256
ARQ1111,Projeto De Paisagismo,6,2,4,256
ARQ1201,Programa Continuado Estagio I,1,1,0,256
ARQ1202,Programa Continuado Estagio Ii,1,1,0,256
ARQ1302,Projeto De Interiores I,4,4,0,256
ARQ1317,Proj Especiais Arquitetura Ii,4,4,0,256
ARQ1320,Top Esp Em Arquitetura V,2,2,0,256
ARQ1322,Top Esp Em Arquitetura Vii,2,2,0,256
ARQ1324,Top Esp Em Arquitetura Ix,2,2,0,256
ARQ1326,Top Esp Em Arquitetura Xi,2,2,0,256
ARQ1328,Top Esp Em Arquitetura Xiii,3,3,0,256
ARQ1329,Top Esp Em Arquitetura Xiv,3,3,0,256
ARQ1330,Top Esp Em Arquitetura Xv,3,3,0,256
ARQ1333,Top Esp Em Arquitetura Xviii,3,3,0,256
ARQ1334,Top Esp Em Arquitetura Xix,4,4,0,256
ARQ1337,Topicos Esp Arquitetura Xxii,4,4,0,256
ARQ1356,Top Esp Em Arquitetura Xli,3,3,0,256
ARQ1362,Top Esp Em Arquitetura Xlvii,2,2,0,256
ARQ1363,Top Esp Em Arquitetura Xlviii,2,2,0,256
ARQ1389,Top Esp Em Arquitetura Lxxiv,4,4,0,256
ARQ9113,Special Topics I,3,3,0,256
ARQ9115,Special Topics Iii,4,4,0,256
ART1020,Desenho De Observacao I,4,1,3,641
ART1027,Geometria Descritiva,3,3,0,641
ART1028,Desenho De Arquitetura I,3,1,2,641
ART1029,Desenho De Arquitetura Ii,3,0,3,641
ART1030,Desenho De Arquitetura Iii,3,0,3,641
ART1210,Fund Da Linguagem Visual I,4,2,2,641
ART1420,Cultura Moderna/Contemporanea,4,4,0,641
ART1551,Planejam Empreendim Culturais,4,4,0,641
ART1819,Ergonomia Na Arquitetura,2,2,0,256
BIO1001,Biologia Geral,4,4,0,246
BIO1002,Estatistica Aplic Biologia I,4,3,1,246
BIO1003,Estatistica Aplic Biologia Ii,4,1,3,246
BIO1004,Estatistica Aplic A Ecologia,4,1,3,246
BIO1005,Des Amostral Est Ecologicos,2,2,0,246
BIO1006,Biomas Brasileiros,4,3,1,246
BIO1008,Biologia Aplicada,4,3,1,246
BIO1009,Genetica,4,3,1,246
BIO1010,Metodos Estudo Em Ecologia,4,1,3,246
BIO1011,Etnobiologia,4,3,1,246
BIO1111,Biologia Vegetal I,6,2,4,246
BIO1112,Biologia Vegetal Ii,6,2,4,246
BIO1113,Biologia Vegetal Iii,6,2,4,246
BIO1114,Microbiologia,4,2,2,246
BIO1115,Ecologia De Paisagens,4,3,1,246
BIO1116,Estagio Supervisionado,2,2,0,246
BIO1117,Conservacao E Sustentabilidade,4,3,1,246
BIO1118,Modelagem De Dist De Especies,4,2,2,246
BIO1119,Seminarios Tematicos I,3,3,0,246
BIO1120,Seminarios Tematicos Ii,3,3,0,246
BIO1121,Biologia Animal I,6,2,4,246
BIO1122,Biologia Animal Ii,6,2,4,246
BIO1123,Biologia Animal Iii,6,2,4,246
BIO1125,Biologia Marinha,4,4,0,246
BIO1126,Div Organis Fotossintetizantes,4,2,2,246
BIO1127,Biologia Evolutiva,4,3,1,246
BIO1129,Introducao A Ecologia,4,4,0,246
BIO1131,Eco Comunidades Ecossistemas,4,4,0,246
BIO1132,Fundamentos De Biogeografia,4,4,0,246
BIO1133,Etica Ambiental,2,2,0,246
BIO1134,Fisiologia Vegetal,4,3,1,246
BIO1135,Ecologia Urbana,2,2,0,246
BIO1136,Restauracao Ecologica,4,2,2,246
BIO1150,Projeto Ambiental I,2,2,0,246
BIO1151,Projeto Ambiental Ii,4,4,0,246
BIO1152,Biologia Celular E Tecidual,6,4,2,246
BIO1153,Biologia Do Desenvolvimento,2,2,0,246
BIO1154,Morfofisiologia Humana,4,3,1,246
BIO1155,Metabolismo Integrado,4,3,1,246
BIO1156,Lab Ensino Em Biologia I,4,2,2,246
BIO1157,Lab Ensino Em Biologia Ii,4,2,2,246
BIO1158,Estag Superv Ens Biologia I,2,0,2,246
BIO1159,Estag Superv Ens Biologia Ii,2,0,2,246
BIO1160,Estag Superv Ens Biologia Iii,2,0,2,246
BIO1161,Estag Superv Ens Biologia Iv,2,0,2,246
BIO1162,Apoio Docente Em Biologia,4,0,4,246
BIO1163,Proj Pedagogico Biologia I,2,0,2,246
BIO1164,Proj Pedagogico Biologia Ii,4,0,4,246
CIV1111,Sistem Estrut Arquitetura I,3,3,0,836
CIV1112,Sistem Estrut Arquitetura Ii,3,3,0,836
CIV1113,Sistem Estrut Arquitetura Iii,3,3,0,836
CIV1301,Topografia Na Arquitetura,2,2,0,836
CIV1305,Construcao Civil,4,4,0,836
CIV1324,Instalacoes Prediais E Urbanas,3,3,0,836
CIV1581,Geotecnia Na Arquitetura,3,3,0,836
CIV1715,Meio Amb Desenv Sustentavel,2,2,0,836
COM1001,Cultura Brasileira,4,4,0,732
COM1006,Seminarios Esp Em Comunicacao,2,2,0,732
COM1010,Sem Especiais Em Comunicacao,2,2,0,732
COM1011,Sem Especiais Em Comunicacao,2,2,0,732
COM1012,Sem Esp Em Comunicacao,2,2,0,732
COM1038,Sem Esp Em Comunicacao,4,4,0,732
COM1040,Sem Esp Em Comunicacao,4,4,0,732
COM1041,Sem Esp Em Comunicacao,4,4,0,732
COM1042,Sem Esp Em Comunicacao,4,4,0,732
COM1043,Sem Esp Em Comunicacao,4,4,0,732
COM1044,Sem Esp Em Comunicacao,4,4,0,732
COM1045,Sem Esp Em Comunicacao,4,4,0,732
COM1047,Sem Esp Em Comunicacao,4,4,0,732
COM1048,Sem Esp Em Comunicacao,4,4,0,732
COM1050,Sem Especiais Em Comunicacao,4,4,0,732
COM1052,Sem Especiais Em Comunicacao,4,4,0,732
COM1054,Sem Especiais Em Comunicacao,4,4,0,732
COM1100,Comunicacao E Teatro,4,4,0,732
COM1162,Com E Literatura Brasileira,4,4,0,732
COM1163,Teoria Da Imagem,4,4,0,732
COM1170,Met Da Pesquisa Em Comunicacao,4,4,0,732
COM1246,Tecnicas De Comunicacao Oral,2,1,0,732
COM1591,Producao Cinematografica Ii,4,2,2,732
COM1680,Redacao Publicitaria,4,2,2,732
COM1684,Prod Publicitaria Em Radio,4,2,2,732
COM1685,Filme Publicitario,4,2,2,732
COM1904,Proj Experim Em Jornalismo,4,0,4,732
COM1905,Proj Experim Em Cinema,4,0,4,732
COM1906,Proj Experim Em Pub E Prop,4,0,4,732
COM9033,Brazilian Culture,4,4,0,732
DSG1423,Historia Da Animacao,2,2,0,641
DSG1515,Tecnicas De Costura,2,2,0,641
DSG1727,Topicos Esp Em Design Xxviii,2,2,0,641
DSG1728,Topicos Esp Em Design Xxix,2,2,0,641
DSG1777,Topicos Esp Em Design Lxxviii,3,3,0,641
DSG1901,Complemento De Projeto I,1,1,0,641
DSG1902,Complemento De Projeto Ii,2,2,0,641
ECO1101,Introducao A Economia,4,4,0,733
ECO1102,Introducao A Economia Ii,4,4,0,733
ECO1103,"Economia(P/ Arq, Des Ind, Eng)",3,3,0,733
ECO1115,Economia Politica,4,4,0,733
ECO1322,Contabilidade Social N,4,4,0,733
ECO1410,Economia Brasileira,4,4,0,733
ECO1705,Econometria Ii,4,4,0,733
ECO1800,Tec De Pesquisa Em Economia,4,4,0,733
ECO1801,Ten De Pesquisa Em Economia Ii,4,4,0,733
ECO1804,Econometria I N,4,4,0,733
ECO1811,Monografia I,8,8,0,733
ECO1812,Monografia Ii,8,8,0,733
EDU1445,Educacao E Sociedade,4,2,2,631
EDU1446,Hist E Politica Da Edu Basica,4,2,2,631
